label,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,source_type,source_file
A,0.0,0.0,0.0,0.2425609976053238,-0.2227319926023483,-0.0143999997526407,0.3533329963684082,-0.5322589874267578,-0.0097650000825524,0.32150399684906,-0.770272970199585,-0.0187989994883537,0.2421319931745529,-0.9414740204811096,-0.0331239998340606,0.3149949908256531,-0.5383689999580383,0.0755669996142387,0.2776559889316559,-0.7534430027008057,0.0268559996038675,0.2158840000629425,-0.8747519850730896,-0.0317139998078346,0.1923789978027343,-1.0,-0.0820820033550262,0.153438001871109,-0.4773389995098114,0.0399940013885498,0.06666299700737,-0.6467030048370361,-0.0179050005972385,-0.0198560003191232,-0.7538269758224487,-0.0901499986648559,-0.0425559990108013,-0.8938930034637451,-0.1446570008993148,-0.013264000415802,-0.4015969932079315,-0.0056739998981356,-0.1162009984254837,-0.5685709714889526,-0.0694309994578361,-0.1788399964570999,-0.6721299886703491,-0.1150669977068901,-0.1769610047340393,-0.7997829914093018,-0.1456969976425171,-0.1701990067958831,-0.3277190029621124,-0.0525150001049041,-0.2582069933414459,-0.4775339961051941,-0.1070439964532852,-0.3033339977264404,-0.5684940218925476,-0.1262000054121017,-0.3104600012302398,-0.6651620268821716,-0.1367850005626678,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.3254809975624084,-0.0759479999542236,-0.1302029937505722,0.5790640115737915,-0.4147630035877228,-0.1366000026464462,0.6018549799919128,-0.7721189856529236,-0.1258610039949417,0.5802369713783264,-1.0,-0.0870399996638298,0.3845979869365692,-0.6570309996604919,-0.0405189990997314,0.354075014591217,-0.9615749716758728,-0.1866959929466247,0.3136419951915741,-0.7564120292663574,-0.2513079941272735,0.3271409869194031,-0.5949540138244629,-0.2695049941539764,0.1455450057983398,-0.6480330228805542,-0.0162860006093978,0.1097669973969459,-0.9195560216903688,-0.1790899932384491,0.1168140023946762,-0.6254749894142151,-0.2200289964675903,0.1514029949903488,-0.4753029942512512,-0.2078039944171905,-0.0468170009553432,-0.6009349822998047,-0.0199190005660057,-0.0811220034956932,-0.8077030181884766,-0.2068939954042434,-0.0477720014750957,-0.5172619819641113,-0.1846709996461868,0.0011149999918416,-0.3747639954090118,-0.1200259998440742,-0.2132129967212677,-0.5270230174064636,-0.0304920002818107,-0.2312829941511154,-0.6619600057601929,-0.1622689962387085,-0.2052080035209655,-0.4616959989070892,-0.1447789967060089,-0.1660510003566742,-0.3527570068836212,-0.0970560014247894,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.1579190045595169,-0.0696640014648437,-0.0665569975972175,0.2594929933547973,-0.2170439958572387,-0.0801870003342628,0.2664569914340973,-0.3451420068740845,-0.0956529974937439,0.2320480048656463,-0.4506730139255523,-0.1100580021739006,0.2235520035028457,-0.4697889983654022,-0.0119300000369548,0.270022988319397,-0.6658719778060913,-0.056157000362873,0.3144820034503937,-0.8073130249977112,-0.1018979996442794,0.3422130048274994,-0.9184650182724,-0.1357109993696212,0.1307850033044815,-0.5224289894104004,-0.0176710002124309,0.164013996720314,-0.7250549793243408,-0.0515940003097057,0.1948360055685043,-0.8661190271377563,-0.0985210016369819,0.2231730073690414,-1.0,-0.1322489976882934,0.0274139996618032,-0.5378289818763733,-0.0359920002520084,0.0283139999955892,-0.7356690168380737,-0.080994002521038,0.0331320017576217,-0.8686959743499756,-0.1229209974408149,0.0332869999110698,-0.998005986213684,-0.1503479927778244,-0.0872600004076957,-0.5194879770278931,-0.0617399998009204,-0.146134003996849,-0.6690599918365479,-0.1162030026316642,-0.1920830011367797,-0.779778003692627,-0.1427749991416931,-0.2314620018005371,-0.8772069811820984,-0.1553909927606582,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.2690869867801666,-0.1351870000362396,-0.0521380007266998,0.4238849878311157,-0.4967660009860992,-0.0437709987163543,0.4175510108470917,-0.8038250207901001,-0.0283300001174211,0.3680349886417389,-1.0,0.0105879995971918,0.2375140041112899,-0.7057759761810303,-0.0523889996111393,0.2237689942121505,-0.8942649960517883,-0.1287939995527267,0.2372419983148574,-0.6434839963912964,-0.1361279934644699,0.2125740051269531,-0.5785160064697266,-0.1326020061969757,0.0074280002154409,-0.6820290088653564,-0.0615319982171058,0.0591569989919662,-0.8652740120887756,-0.1753450036048889,0.1120819970965385,-0.5651220083236694,-0.2042710036039352,0.0805900022387504,-0.5045580267906189,-0.2027260065078735,-0.1721699982881546,-0.5969449877738953,-0.0738560035824775,-0.1328610032796859,-0.7785230278968811,-0.200992003083229,-0.0426440015435218,-0.4841560125350952,-0.1487469971179962,-0.0762770026922226,-0.4197030067443847,-0.0866589993238449,-0.3420650064945221,-0.5269420146942139,-0.0847179964184761,-0.2748720049858093,-0.6366689801216125,-0.166825994849205,-0.195493996143341,-0.4448899924755096,-0.1137619987130165,-0.2137449979782104,-0.3987529873847961,-0.0569240003824234,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.2617020010948181,-0.1003729999065399,-0.0671359971165657,0.4275940060615539,-0.4741280078887939,-0.0592270009219646,0.4106929898262024,-0.7959160208702087,-0.0365639999508857,0.3777920007705688,-1.0,0.0102070001885294,0.2245949953794479,-0.7041540145874023,-0.0898479968309402,0.2035100013017654,-0.8734890222549438,-0.1656499952077865,0.2226189970970153,-0.6033740043640137,-0.1730979979038238,0.2053399980068206,-0.5317850112915039,-0.1726830005645752,-0.0046919998712837,-0.6641539931297302,-0.0841600000858306,0.03566699847579,-0.8404489755630493,-0.2024350017309188,0.0979780033230781,-0.5303919911384583,-0.2331829965114593,0.0693869963288307,-0.4646629989147186,-0.2354789972305297,-0.1796189993619918,-0.5676990151405334,-0.0793789997696876,-0.155689001083374,-0.7475770115852356,-0.1999409943819046,-0.0518420003354549,-0.4569939970970154,-0.1410250067710876,-0.0788019970059394,-0.3807759881019592,-0.0797609984874725,-0.3485940098762512,-0.5053859949111938,-0.0740099996328353,-0.3024770021438598,-0.6023629903793335,-0.1491490006446838,-0.2150940001010894,-0.4131659865379333,-0.0958279967308044,-0.2248920053243637,-0.3656910061836242,-0.0425750017166137,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.3023459911346435,-0.1047009974718093,-0.0375920012593269,0.4534919857978821,-0.476173996925354,-0.031955000013113,0.4624379873275757,-0.8029599785804749,-0.0290220007300376,0.4365620017051697,-1.0,-0.0141639998182654,0.3286139965057373,-0.6380680203437805,-0.0139769995585083,0.3259299993515014,-0.8363410234451294,-0.1111290007829666,0.2997179925441742,-0.626928985118866,-0.1594419926404953,0.291036993265152,-0.5690060257911682,-0.1883569955825805,0.091498002409935,-0.6180070042610168,-0.0394000001251697,0.1445779949426651,-0.7823619842529297,-0.1223450005054473,0.1385969966650009,-0.5301210284233093,-0.146478995680809,0.1287519931793213,-0.5008509755134583,-0.1597180068492889,-0.1011129990220069,-0.5368390083312988,-0.0758130028843879,-0.0606460012495517,-0.6959270238876343,-0.1753190010786056,-0.0349670015275478,-0.4613319933414459,-0.1298940032720565,-0.053762998431921,-0.4218769967556,-0.0883250012993812,-0.2729960083961487,-0.468979001045227,-0.1126039996743202,-0.2445240020751953,-0.5831590294837952,-0.1800220012664795,-0.2137680053710937,-0.4299339950084686,-0.1320859938859939,-0.2198320031166076,-0.3903670012950897,-0.087907001376152,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
A,0.0,0.0,0.0,0.2656300067901611,-0.1192120015621185,-0.0678889974951744,0.4392820000648498,-0.4784730076789856,-0.0643759965896606,0.4332279860973358,-0.79271399974823,-0.0462419986724853,0.4001559913158417,-1.0,-0.0032329999376088,0.2396890074014663,-0.7130569815635681,-0.0835219994187355,0.2119659930467605,-0.888729989528656,-0.159753993153572,0.2225600033998489,-0.6225410103797913,-0.1679320037364959,0.2080910056829452,-0.5535550117492676,-0.1665380001068115,0.0064519997686147,-0.6811270117759705,-0.077004000544548,0.0330209992825984,-0.8525400161743164,-0.1924020051956176,0.0912529975175857,-0.5420929789543152,-0.2214310020208358,0.074193000793457,-0.4824489951133728,-0.2236009985208511,-0.1717160046100616,-0.5873860120773315,-0.0718690007925033,-0.1556300073862075,-0.759647011756897,-0.1929800063371658,-0.0607240013778209,-0.4693669974803924,-0.1360549926757812,-0.0768050029873848,-0.4018619954586029,-0.0754740014672279,-0.3355779945850372,-0.52223801612854,-0.0661839991807937,-0.3003970086574554,-0.6180130243301392,-0.1369690001010894,-0.2197380065917968,-0.4289320111274719,-0.0810879990458488,-0.2199140042066574,-0.3853740096092224,-0.0261780004948377,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
B,0.0,0.0,0.0,0.1258050054311752,-0.1110479980707168,-0.0910419970750808,0.1730120033025741,-0.3006429970264435,-0.1201300024986267,0.0505539998412132,-0.4577209949493408,-0.1392479985952377,-0.0784280002117157,-0.5285199880599976,-0.1548900008201599,0.1546870023012161,-0.4962489902973175,-0.0500900000333786,0.1456619948148727,-0.7113119959831238,-0.0945789963006973,0.1263750046491623,-0.8420079946517944,-0.1372949928045272,0.1072869971394538,-0.9536920189857484,-0.1715999990701675,0.0450159981846809,-0.5196729898452759,-0.0430909991264343,0.0332919992506504,-0.7419030070304871,-0.077453002333641,0.0257610008120536,-0.8834580183029175,-0.1206410005688667,0.0191619992256164,-1.0,-0.1548720002174377,-0.0487900003790855,-0.4960319995880127,-0.0485429987311363,-0.0699660032987594,-0.6967759728431702,-0.084595002233982,-0.0687500014901161,-0.8177239894866943,-0.1269849985837936,-0.0709580034017562,-0.9207469820976256,-0.1573369950056076,-0.1387629956007003,-0.4336470067501068,-0.0638450011610984,-0.1620000004768371,-0.5859259963035583,-0.0990339964628219,-0.1654479950666427,-0.6835430264472961,-0.1230759993195533,-0.1674640029668808,-0.769199013710022,-0.1405510008335113,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
B,0.0,0.0,0.0,0.1243600025773048,-0.1146439984440803,-0.0896060019731521,0.1724060028791427,-0.3055950105190277,-0.1166070029139518,0.0451209992170333,-0.4648039937019348,-0.1340360045433044,-0.0916230008006095,-0.5290430188179016,-0.1477439999580383,0.1458159983158111,-0.5034880042076111,-0.0395080000162124,0.1403860002756118,-0.7167649865150452,-0.0792839974164962,0.1220619976520538,-0.8461419939994812,-0.1214149966835975,0.1041439995169639,-0.9569299817085266,-0.1563799977302551,0.0350349992513656,-0.5271890163421631,-0.0321809984743595,0.0252969991415739,-0.743939995765686,-0.0604000017046928,0.0183400008827447,-0.8837800025939941,-0.1023819968104362,0.01167600043118,-1.0,-0.1372829973697662,-0.0582149997353553,-0.5034459829330444,-0.0377300009131431,-0.0769859999418258,-0.7011799812316895,-0.0687199980020523,-0.0737250000238418,-0.820451021194458,-0.109604001045227,-0.0750510022044181,-0.9231659770011902,-0.139954999089241,-0.1452199965715408,-0.439081996679306,-0.0535119995474815,-0.1678279936313629,-0.5882920026779175,-0.0846830010414123,-0.168964996933937,-0.6857659816741943,-0.1066420003771781,-0.1690289974212646,-0.772255003452301,-0.1235070005059242,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
B,0.0,0.0,0.0,0.1188070029020309,-0.1058719977736473,-0.0994819998741149,0.1560019999742508,-0.287441998720169,-0.1369680017232895,0.0351889990270137,-0.4362150132656097,-0.1625300049781799,-0.090668000280857,-0.5073369741439819,-0.1855300068855285,0.1357530057430267,-0.489780992269516,-0.0747999995946884,0.120506003499031,-0.7035160064697266,-0.1292639970779419,0.0996840000152587,-0.836762011051178,-0.1774130016565323,0.0814400017261505,-0.950650990009308,-0.2143899947404861,0.0257109999656677,-0.5110729932785034,-0.0649869963526725,0.0067389998584985,-0.7342039942741394,-0.108873002231121,-0.0051049999892711,-0.8797680139541626,-0.1558009982109069,-0.0122210001572966,-1.0,-0.1912180036306381,-0.0671190023422241,-0.484167993068695,-0.0669469982385635,-0.0949700027704238,-0.6847360134124756,-0.109323002398014,-0.1009849980473518,-0.8088679909706116,-0.1534190028905868,-0.105392001569271,-0.914488971233368,-0.18435600399971,-0.1519400030374527,-0.4181829988956451,-0.0789090022444725,-0.1793850064277649,-0.5669080018997192,-0.1183080002665519,-0.1852809935808181,-0.6637549996376038,-0.1438049972057342,-0.1864649951457977,-0.7498149871826172,-0.1618099957704544,alfabeti_norm,datasets/processed/backups/csv_snapshot_20260429-023058/data_csv/alfabeti_keypoints.csv
